Rozkł.,Direction,Flight Number,Status,Arrival or Departure,Delayed/ Cancelled
18:00,ROME FUMICINO (FCO),W6 2032,Landed at 18:04,Arrival,
18:10,HELSINKI (HEL),AY 1163,Flight delayed,Arrival,Delayed
18:15,MANCHESTER (MAN),FR 2141,Flight delayed,Arrival,Delayed
18:20,ZADAR (ZAD),FR 7280,Expected 18:25,Arrival,
18:20,FRANKFURT (FRA),LH 1368,Expected 18:50,Arrival,
18:30,TALLINN (TLL),W6 2046,Expected 18:20,Arrival,
18:50,LEEDS BRADFORD (LBA),FR 2332,Expected 18:50,Arrival,
18:50,PODGORICA (TGD),FR 7934,Expected 18:56,Arrival,
18:55,LONDON HEATHROW (LHR),B.A.872,Expected 18:56,Arrival,
19:20,LONDON STANSTED (STN),FR 2432,Expected 19:23,Arrival,
19:30,ISTANBUL (IST),TK 1273,Expected 19:30,Arrival,
19:30,COPENHAGEN (CPH),SK 1799,Expected 19:26,Arrival,
19:35,TIRANA (TIA),FR 7555,Expected 19:35,Arrival,
19:35,MANCHESTER (MAN),LS 949,Flight delayed,Arrival,Delayed
19:50,BIRMINGHAM (BHX),FR 1465,Expected 19:50,Arrival,
20:10,BRUSSELS CHARLEROI (CRL),FR 5534,Expected 20:10,Arrival,
20:15,MARRAKESH (CANCER),FR 7103,Expected 19:58,Arrival,
20:25,GENEVA (GVA),EZS 1447,Expected 20:25,Arrival,
20:30,PARIS (CDG),EJU 4669,Expected 20:30,Arrival,
20:30,MALTA (MLA),FR 7114,Expected 20:30,Arrival,
20:40,MALAGA (AGP),FR 2588,Expected 20:39,Arrival,
20:45,CORFU (CFU),FR 6963,Expected 20:45,Arrival,
20:45,WARSAW (WAW),LO 3921,Expected 20:45,Arrival,
20:50,TRONDHEIM (TRD),DY 1038,Expected 20:50,Arrival,
20:50,OSLO GARDERMOEN (OSL),DY 1042,Expected 20:50,Arrival,
20:55,VIENNA (VIE),FR 947,Expected 20:55,Arrival,
21:10,MILAN BERGAMO (BGY),FR 3535,Expected 21:10,Arrival,
21:20,BUDAPEST (BUD),FR 9752,Expected 21:20,Arrival,
21:23,HELSINKI (HEL),AY 1163,Expected 21:23,Arrival,
22:15,ROME CIAMPINO (CIA),FR 082,Expected 22:15,Arrival,
22:30,BOLOGNA (BLQ),FR 3798,Expected 22:30,Arrival,
22:30,EDINBURGH (EDI),FR 6624,Expected 22:30,Arrival,
22:30,AMSTERDAM (AMS),KL 1331,Expected 22:30,Arrival,
22:30,NICE (NCE),W6 2072,Expected 22:30,Arrival,
22:50,PARIS ORLY (ORY),LO 2152,Expected 22:50,Arrival,
23:00,LONDON STANSTED (STN),FR 2434,Expected 23:00,Arrival,
23:05,CATANIA (CTA),FR 2727,Expected 23:05,Arrival,
23:10,ANTALIA (AYT),FH 753,Expected 23:10,Arrival,
